,property_type,barrio,rooms,price,lat,lon,distancia_minima_escuela (m)
0,PH,Flores,3.0,125000.0,-34.655646999999995,-58.496525,185.09876491845367
4,Departamento,Once,2.0,69000.0,-34.606777,-58.410057,192.7013130944032
9,Departamento,Floresta,2.0,82000.0,-34.631462,-58.482067,101.44294487708929
10,Departamento,Floresta,2.0,87000.0,-34.631199,-58.481384,126.91684278802303
19,Departamento,Caballito,3.0,137000.0,-34.624594,-58.43590179999999,16.636461604722488
21,Departamento,Chacarita,2.0,95000.0,-34.589787,-58.449482,124.89843277710982
22,Departamento,San Telmo,2.0,90000.0,-34.627399,-58.370895,307.3796923459148
26,Departamento,Villa Crespo,1.0,93000.0,-34.6040284,-58.4556458,384.5088602433012
28,Departamento,Villa Devoto,2.0,125000.0,-34.6005298257,-58.5070567915,160.15846340424872
29,Departamento,Villa Devoto,2.0,145000.0,-34.608016,-58.51074570000001,219.89574662777486
31,Departamento,Villa Devoto,1.0,113400.0,-34.5923874,-58.5061814,196.23931985759563
34,Departamento,Villa Urquiza,2.0,130000.0,-34.595806,-58.468315,255.82788919160654
37,PH,Flores,2.0,130000.0,-34.619179100000004,-58.4683785,186.13318097301277
45,Departamento,Flores,3.0,58000.0,-34.6452074,-58.456973700000006,96.70550093504602
48,Departamento,Nuñez,1.0,140000.0,-34.548035,-58.44421429999999,374.9754536933049
50,Departamento,Almagro,1.0,95500.0,-34.606584000000005,-58.43082920000001,131.3234037194922
51,Departamento,Coghlan,2.0,146880.0,-34.5536612,-58.4884372,86.46901689089476
55,Departamento,Palermo,2.0,143200.0,-34.596051700000004,-58.4277245,118.3873746328204
68,Departamento,Belgrano,2.0,106000.0,-34.5571139,-58.4459141,60.00134603423235
72,Departamento,Belgrano,1.0,124000.0,-34.5678024,-58.4501238,73.99725981902279
75,Departamento,Congreso,2.0,80000.0,-34.6151402,-58.3955027,72.44187633420727
77,Departamento,Paternal,3.0,119000.0,-34.6062595,-58.4753921,112.62464894705076
78,Departamento,Paternal,1.0,105000.0,-34.60464810000001,-58.4601149,49.03848442883697
79,Departamento,Recoleta,1.0,95000.0,-34.5876218,-58.401619,63.16281469736218
81,Departamento,Saavedra,1.0,130000.0,-34.553854,-58.48840210000001,104.39069008519378
83,Departamento,Saavedra,2.0,146880.0,-34.5536612,-58.4884372,86.46901689089476
87,Departamento,Caballito,1.0,78000.0,-34.6223575,-58.4351934,28.492116459469834
90,Departamento,Barrio Norte,1.0,95000.0,-34.5876218,-58.401619,63.16281469736218
96,Departamento,Constitución,1.0,53000.0,-34.6291503,-58.38970870000001,33.85595866888432
99,Departamento,Villa Urquiza,1.0,93000.0,-34.5868855,-58.4815007,159.85587148899862
100,Departamento,Villa Urquiza,1.0,94000.0,-34.5851974,-58.4633631,236.84779307163373
101,Departamento,Villa Urquiza,1.0,109000.0,-34.5805903,-58.489585700000006,75.42005271278927
102,Departamento,Villa Urquiza,2.0,149500.0,-34.5653967,-58.4928488,276.22841996079813
103,Departamento,Villa Urquiza,2.0,146880.0,-34.5536612,-58.4884372,86.46901689089476
105,Departamento,Villa Santa Rita,3.0,149000.0,-34.6137526,-58.4831786,149.54494671649977
107,Departamento,Villa General Mitre,1.0,100000.0,-34.6136894,-58.4641954,233.60777899158563
208,Departamento,Flores,1.0,92000.0,-34.6266904,-58.45800550000001,180.2642040132509
209,Departamento,Nuñez,1.0,95000.0,-34.5510019,-58.4718659,54.29751740506414
210,Departamento,Nuñez,1.0,143000.0,-34.542750299999994,-58.46014520000001,313.0530118826133
212,Departamento,Nuñez,1.0,147000.0,-34.542750299999994,-58.46014520000001,313.0530118826133
213,Departamento,Nuñez,1.0,110000.0,-34.551481171599995,-58.452635014799995,114.08612176422609
214,Departamento,Nuñez,1.0,143000.0,-34.542750299999994,-58.46014520000001,313.0530118826133
215,Departamento,Nuñez,1.0,143000.0,-34.542750299999994,-58.46014520000001,313.0530118826133
216,Departamento,Almagro,1.0,118000.0,-34.5982192139,-58.43003808130001,204.5504604024071
217,Departamento,Almagro,1.0,69000.0,-34.600566,-58.42671770000001,193.17960416079944
218,Departamento,Almagro,1.0,115000.0,-34.5982192139,-58.43003808130001,204.5504604024071
219,Departamento,Almagro,1.0,118000.0,-34.5982192139,-58.43003808130001,204.5504604024071
221,Departamento,Palermo,1.0,65000.0,-34.59685,-58.41352,114.05191171923637
223,Departamento,Palermo,1.0,129000.0,-34.5810131,-58.433014,136.0658560737571
226,Departamento,Palermo,1.0,118000.0,-34.5982192139,-58.43003808130001,204.5504604024071
227,Departamento,Palermo,1.0,125000.0,-34.5811536,-58.40847629999999,107.38128957597789
228,Departamento,Palermo,1.0,139000.0,-34.567478200000004,-58.4375419,106.50020883765703
230,Departamento,Palermo,1.0,109900.0,-34.5841349,-58.4341678,67.76013508906496
231,Departamento,Palermo,1.0,132000.0,-34.5946545,-58.4210557,142.8354005393435
232,Departamento,Palermo,1.0,115000.0,-34.5982192139,-58.43003808130001,204.5504604024071
237,Departamento,Belgrano,1.0,120000.0,-34.563425200000005,-58.4689524,274.7746286423657
238,Departamento,Belgrano,1.0,85000.0,-34.569412400000004,-58.4465559,84.18675289125112
240,Departamento,Belgrano,1.0,143000.0,-34.5586797,-58.4603432,170.15835935676392
242,Departamento,Recoleta,1.0,116000.0,-34.594223799999995,-58.3833628,117.87099481683741
243,Departamento,Recoleta,1.0,75000.0,-34.5943521,-58.38743929999999,137.57798609773843
244,Departamento,Recoleta,1.0,120000.0,-34.5898835,-58.4010897,114.51524982348359
245,Departamento,Saavedra,1.0,129500.0,-34.5545188,-58.4915986,202.84926962505943
246,Departamento,Balvanera,1.0,40000.0,-34.6019314,-58.41125989999999,178.44337076048112
247,Departamento,Caballito,1.0,143000.0,-34.60886765,-58.43890381,183.82867875737352
248,Departamento,Caballito,1.0,95000.0,-34.6065716606,-58.430703073000004,129.85594882453285
249,Departamento,Chacarita,1.0,95000.0,-34.5849922,-58.45416899999999,143.2375864753446
250,Departamento,San Telmo,1.0,149000.0,-34.6211839,-58.37311629999999,27.284314991046248
251,Departamento,San Telmo,1.0,83000.0,-34.6229277,-58.3698257,130.2763343514762
252,Departamento,San Telmo,1.0,100000.0,-34.6209697,-58.3787499,126.62659323976763
253,Departamento,Versalles,1.0,80000.0,-34.62574,-58.5205473,176.0726811764129
254,Departamento,Colegiales,1.0,143000.0,-34.574388299999995,-58.44872779999999,133.02112257840693
255,Departamento,Colegiales,1.0,88000.0,-34.5753974,-58.4462129,75.20616223316463
256,Departamento,Colegiales,1.0,95000.0,-34.574388299999995,-58.44872779999999,133.02112257840693
257,Departamento,Colegiales,1.0,98000.0,-34.5763898,-58.44823149999999,94.54596244191777
259,Departamento,Barrio Norte,1.0,84900.0,-34.5930969,-58.3991562,120.5962584587742
261,Departamento,San Nicolás,1.0,62000.0,-34.6044054,-58.3867215,66.43299266300738
262,Departamento,Villa Crespo,1.0,118000.0,-34.5982192139,-58.43003808130001,204.5504604024071
263,Departamento,Villa Crespo,1.0,99000.0,-34.5947933,-58.4417774,131.78128419864981
264,Departamento,Villa Crespo,1.0,117000.0,-34.5976786,-58.4430195,108.49582045164863
265,Departamento,Villa Crespo,1.0,115000.0,-34.5982192139,-58.43003808130001,204.5504604024071
266,Departamento,Villa Devoto,1.0,95700.0,-34.618188399999994,-58.49841170000001,177.14738685137957
267,Departamento,Villa Urquiza,1.0,81000.0,-34.570884,-58.4886936,109.91960626670547
268,Departamento,Villa Pueyrredón,1.0,95000.0,-34.5888724,-58.4949907,151.42278232972495
269,Departamento,Centro / Microcentro,1.0,86000.0,-34.605049,-58.371125,287.631979834374
270,Local comercial,Recoleta,1.0,19000.0,-34.597005100000004,-58.3860755,173.8017131219414
271,PH,Flores,2.0,119000.0,-34.631989000000004,-58.46288199999999,92.56803390179924
272,PH,Paternal,2.0,112500.0,-34.607169,-58.467007,116.77531133013846
273,PH,Mataderos,2.0,78000.0,-34.6661617,-58.50259670000001,59.0972696837759
274,PH,Villa Urquiza,2.0,94000.0,-34.589072200000004,-58.4731811,264.872723955228
275,PH,Villa General Mitre,2.0,112500.0,-34.607169,-58.467007,116.77531133013846
